Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Hit/Flop
Naa Nuvve,Jayendra Panchapakesan,Sharreth,12.5,1,8453989,30000,Hit
Sammohanam,Mohana Krishna Indraganti,Vivek Sagar,12.5,1,1240573,15000,Hit
Ee Nagaraniki Emaindhi,Tharun Bhascker,Vivek Sagar,2,1,65806,910,Hit
RX 100 (film),Ajay Bhupathi,"Chaitan Bharadwaj
Smaran",2,1,2048406,5200,Hit
Aatagadharaa Siva,Chandra Siddhartha,Nobin Paul,2.5,0,288369,2000,Flop
Saakshyam,Sriwass,Harshavardhan Rameshwar,12,1,9027855,78000,Hit
Happy Wedding (2018 film),Lakshman Karya,S. Thaman,1.7,1,1202156,13000,Hit
Srinivasa Kalyanam (2018 film),Satish Vegesna,Mickey J. Meyer,25.5,1,6009095,65000,Flop
Nartanasala (2018 film),Srinivas Chakravarthi,Mahati Swara Sagar,15,0,8801201,15000,Flop
Hello Guru Prema Kosame,Trinadha Rao Nakkina,Devi Sri Prasad,5,1,9265995,120000,Hit
Adhugo,Ravi Babu,Prashanth R Vihari,2,0,403301,4000,Hit
Amar Akbar Anthony (2018 film),Srinu Vaitla,S. S. Thaman,10,1,8344855,114000,Hit
Taxiwaala,Rahul Sankrityan,Jakes Bejoy,7,1,9569558,133000,Hit
24 Kisses,Ayodhyakumar Krishnamsetty,Joi Barua,6.5,0,3862542,17000,Flop
Kavacham (2018 film),Sreenivas Mamilla,S. Thaman,20,1,1718649,14000,Flop
Antariksham 9000 KMPH,Sankalp Reddy,Prashanth R Vihari,27.5,1,7017374,148000,Flop
Bluff Master (2018 film),Gopiganesh Pattabhi,Sunil Kashyap,6.5,0,612201,11000,Flop
Saaho,Sujeeth,"Songs:
Tanishk Bagchi
Guru Randhawa
Badshah
Shankar?Ehsaan?Loy
Score:
Ghibran[1]",350,1,34873919,580000,Hit
Sye Raa Narasimha Reddy,Surender Reddy,"Amit Trivedi (songs)
Julius Packiam (score)",225,1,23380379,435000,Hit
Maharshi (2019 film),Vamshi Paidipally,Devi Sri Prasad,115,1,27636313,382000,Hit
F2: Fun and Frustration,Anil Ravipudi,Devi Sri Prasad,30,1,14731687,163000,Hit
Vinaya Vidheya Rama,Boyapati Srinu,Devi Sri Prasad,70,1,38330422,452000,Flop
iSmart Shankar,Puri Jagannadh,Mani Sharma,17.5,1,27121123,306000,Hit
Venky Mama,K. S. Bobby,S. Thaman,35,1,10144354,179000,Hit
Majili,Shiva Nirvana,Gopi Sunder,20,1,9943652,170000,Hit
Jersey (2019 film),Gowtam Tinnanuri,Anirudh Ravichander,25,1,11299634,280000,Hit
Prati Roju Pandage,Maruthi,S. Thaman,25,1,8601908,156000,Hit
